order_id,customer_id,product_id,quantity,order_date,total_amount
1,520,60,1,2023-12-22,82.70
2,478,358,1,2023-06-15,147.13
3,213,372,1,2023-12-19,137.18
4,460,119,2,2023-12-14,95.50
5,1041,437,3,2024-04-24,3492.51
6,95,453,1,2024-02-04,642.87
7,423,427,4,2024-01-04,266.80
8,519,410,5,2023-06-15,81.90
9,1158,107,1,2023-03-30,1897.15
10,1395,248,1,2023-07-24,299.41
11,111,311,1,2024-03-01,108.35
12,554,156,1,2023-02-18,45.44
13,13,184,3,2024-01-01,2369.64
14,1446,82,1,2024-05-30,163.84
15,23,414,1,2024-03-16,49.58
16,82,317,1,2023-08-18,54.27
17,541,133,5,2023-12-30,128.40
18,1962,24,3,2023-10-01,4063.29
19,108,437,2,2023-04-17,2328.34
20,1613,26,4,2024-03-24,3174.72
21,494,493,3,2023-04-24,1134.24
22,76,401,2,2023-04-15,1235.60
23,828,22,2,2023-06-21,78.56
24,1204,61,3,2024-01-06,572.37
25,112,373,1,2024-03-28,127.12
26,1916,260,1,2023-04-12,133.26
27,110,332,1,2023-05-22,602.62
28,88,435,1,2024-03-01,75.90
29,1961,394,1,2024-04-30,356.36
30,300,147,2,2023-03-29,216.00
31,192,191,2,2024-02-29,731.98
32,332,323,2,2023-06-05,1456.92
33,1869,386,2,2023-08-22,409.96
34,99,411,1,2024-02-24,91.11
35,497,488,3,2024-01-06,100.26
36,21,227,1,2023-01-11,45.72
37,1676,413,2,2023-03-13,124.10
38,61,174,1,2023-06-18,30.13
39,453,32,1,2023-02-07,194.75
40,1360,473,2,2023-03-01,1156.20
41,1211,366,3,2023-10-30,574.44
42,428,206,3,2023-11-08,960.99
43,1695,381,1,2023-12-19,51.08
44,6,424,1,2023-05-31,32.13
45,1580,207,1,2023-07-30,697.90
46,729,320,3,2024-03-28,1210.23
47,1562,177,3,2024-02-19,309.75
48,1990,102,3,2023-03-28,127.80
49,26,276,1,2023-05-10,6.24
50,600,277,1,2023-04-06,660.05
51,585,283,1,2023-12-15,144.45
52,1888,326,1,2023-01-29,51.28
53,703,304,1,2023-11-08,79.89
54,1721,217,5,2023-04-24,333.55
55,1754,31,3,2023-09-23,800.01
56,1186,260,1,2023-02-18,133.26
57,1886,334,4,2024-04-04,464.84
58,228,294,2,2024-04-09,241.56
59,295,121,3,2023-08-28,2659.38
60,314,154,1,2023-05-24,185.85
61,1656,194,2,2023-09-11,132.80
62,75,168,2,2023-07-17,597.98
63,333,233,1,2024-03-11,232.10
64,416,42,1,2024-03-11,16.09
65,94,244,1,2023-03-21,77.88
66,346,347,2,2024-02-09,219.10
67,190,300,1,2024-03-09,22.51
68,462,353,4,2024-05-16,60.04
69,1752,499,1,2023-06-16,243.75
70,103,259,1,2024-04-13,114.52
71,93,496,2,2023-05-01,214.70
72,1545,109,1,2023-02-03,195.01
73,1835,81,4,2024-01-14,615.48
74,85,309,3,2023-04-23,866.64
75,86,190,2,2023-02-11,935.68
76,613,79,1,2023-11-09,21.65
77,355,156,1,2023-01-29,45.44
78,102,73,3,2024-03-07,540.12
79,34,480,3,2023-10-18,127.86
80,154,94,3,2024-05-15,240.90
81,2,63,2,2023-03-11,147.58
82,31,214,1,2023-11-14,1469.16
83,845,232,4,2024-01-22,7586.28
84,523,428,2,2023-05-16,70.28
85,1916,71,2,2024-04-16,339.88
86,1915,231,2,2023-06-02,60.14
87,1727,167,1,2024-02-24,57.68
88,374,120,4,2023-12-14,270.96
89,709,24,4,2024-03-29,5417.72
90,1775,143,2,2023-06-19,190.36
91,1616,13,2,2023-11-13,22.14
92,818,331,1,2023-03-29,26.77
93,137,490,2,2023-02-24,145.46
94,869,268,1,2024-05-02,8.91
95,570,460,1,2023-07-04,1968.06
96,13,141,3,2023-09-09,80.25
97,1608,430,3,2024-03-30,478.77
98,61,414,2,2023-11-25,99.16
99,399,302,1,2023-01-24,31.69
100,297,224,1,2023-01-25,28.78
101,639,163,1,2023-04-04,132.23
102,82,51,2,2023-10-20,575.28
103,103,94,1,2023-04-02,80.30
104,110,158,4,2023-06-23,767.96
105,43,315,4,2023-07-05,111.64
106,19,366,1,2024-02-04,191.48
107,71,164,1,2023-11-28,217.96
108,186,193,4,2023-05-04,1616.08
109,36,104,1,2023-08-31,44.87
110,552,261,3,2024-01-30,62.70
111,82,138,1,2024-04-20,63.33
112,777,209,1,2023-01-30,19.23
113,408,325,1,2023-01-20,465.75
